# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,4324.639643
-43.0,50,4328.979908
-50.0,50,4333.314862
-50.0,50,4337.753081
-50.0,50,4341.63287
-50.0,50,4345.82461
-13.0,50,4349.776286
-46.0,50,4354.000443
0.0,50,4358.120989
-50.0,50,4362.425727
-43.0,50,4366.391965
-50.0,50,4370.617755
-50.0,50,4374.740925
-17.0,50,4378.913274
-16.0,50,4383.006314
-50.0,50,4387.434788
-50.0,50,4391.496491
-50.0,50,4395.777286
-45.0,50,4400.99408
-50.0,50,4405.066154
-50.0,50,4409.398265
-50.0,50,4413.531368
-50.0,50,4417.814484
-50.0,50,4421.739418
-50.0,50,4425.980298
-50.0,50,4430.211768
-15.0,50,4435.211419
-22.0,50,4440.211776
-27.0,50,4444.497182
-50.0,50,4444.888207
-15.0,50,4445.308169
-49.0,50,4445.741248
-50.0,50,4446.12019
-7.0,50,4446.697091
-50.0,50,4447.223069
-50.0,50,4447.626696
